"label","translation","comment"
"Required field","Campo obbligatorio",""
"Row has been saved","La riga è stata salvata",""
"Row was not deleted","La riga non è stata eliminata",""
"Rows to skip before reading data:","Righe da ignorare prima della lettura dei dati:","Automatically translated"
"Sample data by :","Campiona i dati per:","Automatically translated"
"Save","Salva",""
"Select","Seleziona",""
"Select a data.frame:","Seleziona un data.frame :",""
"Select an environment in which to search:","Seleziona un ambiente in cui cercare:",""
"Select environment","Seleziona un ambiente",""
"Select sheet to import:","Seleziona una scheda da importare:",""
"Some operations are not allowed","Alcune operazioni non sono permesse","Automatically translated"
"Something went wrong...","Qualcosa è andato storto...",""
"Sort count","Ordina i conteggi","Automatically translated"
"The URL that appear in your browser, in that case the current sheet will be read","L'URL nel tuo browser, in tal caso verrà letta la scheda corrente",""
"The row has been deleted","La riga è stata eliminata",""
"The row wasn't added to the data","La riga non è stata aggiunta ai dati","Automatically translated"
"URL","URL","Automatically translated"
"Unable to add the row, contact the platform administrator","Impossible aggiungere la riga, contatta l'amministratore del sistema",""
"Unable to delete the row, contact platform administrator","Impossible eliminare la riga, contatta l'amministratore del sistema",""
"Unable to modify the item, contact the platform administrator","Impossibile modificare l'elemento, contatta l'amministratore del sistema",""
"Unique values:","Valori unici:","Automatically translated"
"Unique:","Unico:","Automatically translated"
"Update","Aggiorna",""
"Update & select variables","Aggiorna e seleziona le variabili","Automatically translated"
"Update factor variable","Aggiorna la variabile discreta","Automatically translated"
"Update levels of a factor","Aggiorna i livelli della variabile discreta","Automatically translated"
"Update row","Aggiorna la riga",""
"Upload a file:","Carica un file:",""
"Use a data.frame from your environment or from the environment of a package.","Usa un data.frame nel tuo ambiente o in un pacchetto.",""
"Valid number of columns","Numero di colonne valido","Automatically translated"
"Valid number of rows","Numero di righe valido","Automatically translated"
"Validate","Validare",""
"Validation:","Validazione:","Automatically translated"
"Variable to cut:","Variabile da spezzare:","Automatically translated"
"View","Visualizza",""
"Warning","Attenzione","Automatically translated"
"Yes","Sì",""
"Yes","Sì",""
"You can either use:","Puoi usare:",""
"You can import %s files","Puoi importare %s file",""
"You can import from flat table format supported by","Puoi importare tabelle nel formato supportato da","Automatically translated"
"click to see data","clicca per vedere i dati","Automatically translated"
"data has %s obs. of %s variables.","i dati hanno %s osservazioni e %s variabili.",""
"if several use a comma ',' to separate them","se sono più d'uno separali con una virgola ','","Automatically translated"
"lines, i.e.","righe, cioé","Automatically translated"
"number of rows","numero di righe","Automatically translated"
"proportion of rows","proporzione delle righe","Automatically translated"
"rows","righe","Automatically translated"
"then enter an expression before clicking on the button above to validate or on ","quindi inserisci un'espressione prima di fare clic sul pulsante in alto per validare o su","Automatically translated"
"to delete it.","per eliminarlo.","Automatically translated"
"Sort by count","Ordina per conteggio","Automatically translated"
"Sort by levels","Ordina per livello","Automatically translated"
